fid,categorie,catégories.de.point.dinterêt,title,position_address,couleurs.x,souscouleurs,jardin,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony,etik,etik2_plus_clair,photo
19,École,Etablissements scolaires,Olympe de Gouges primaire,"1/7, avenue Maurice Benhamou 93140 BONDY",#ecdbdf,#FFF0F5,,,,OG,Ec. OG,
20,École,Etablissements scolaires,Roger Salengro élémentaire,"106, rue Roger Salengro 93140 BONDY",#ecdbdf,#FFF0F5,,660875.966542299,6866678.0141185,RS,,
21,École,Etablissements scolaires,Jacques Bethinger élémentaire,"106, rue Roger Salengro 93140 BONDY",#ecdbdf,#FFF0F5,,660874.290000549,6866421.83316326,JB,,
22,École,Etablissements scolaires,Albert Camus élémentaire,"34, avenue Jean Moulin 93140 BONDY",#ecdbdf,#FFF0F5,,661461.090704873,6868306.00242773,AC,Ec. AC,
23,École,Etablissements scolaires,Noue Caillet maternelle,Avenue Jean Moulin 93140 BONDY,#ecdbdf,#FFF0F5,,661291.503850783,6867963.79669473,NC,Ec. NC,
24,École,Etablissements scolaires,Aimé Césaire élémentaire,"8, rue de la Terre Saint Blaise",#ecdbdf,#FFF0F5,,662180.565694978,6868834.92068818,AC,Ec. AC,
25,École,Etablissements scolaires,Jean Zay maternelle,"68, route d'Aulnay",#ecdbdf,#FFF0F5,,662064.165674778,6867988.70805865,JZ,Ec. JZ,
26,École,Etablissements scolaires,Camille Claudel primaire,Rue Pierre Brossollette 93140 BONDY,#ecdbdf,#FFF0F5,,,,CC,,
27,École,Etablissements scolaires,Pasteur élémentaire ,"6, rue des Ecoles",#ecdbdf,#FFF0F5,,662752.593176579,6867845.41089712,P,,
28,École,Etablissements scolaires,Alain Savary maternelle,"21, rue du Vieux Moulin 93140 BONDY",,#FFF0F5,,661133.356888787,6866304.28651238,AS,,
29,École,Etablissements scolaires,Pasteur maternelle,"2, rue des Ecoles",#ecdbdf,#FFF0F5,,662767.654368834,6867696.70687164,P,,
30,École,Etablissements scolaires privés,Groupe scolaire privé Assomption,"12, avenue de Verdun 93140 BONDY",#ecdbdf,#FFF0F5,,,,A,Ec. Assomption,
31,École,Etablissements scolaires,André Boulloche élémentaire,"4, rue de la Terre-Saint-Blaise 93140 BONDY",#ecdbdf,#FFF0F5,,661999.953655369,6868831.23061554,AB,Ec. AB,
32,École,Etablissements scolaires,Terre St Blaise maternelle,"2, rue de la Terre Saint Blaise",#ecdbdf,#FFF0F5,,661855.891187074,6868836.72764441,TSB,Ec. TSB,
33,École,Etablissements scolaires,Noue Caillet élémentaire,avenue Jean Moulin,#ecdbdf,#FFF0F5,,661418.370007772,6868115.35786838,NC, ,
34,École,Etablissements scolaires, Léo Lagrange élémentaire,"31, rue Georges Elie",#ecdbdf,#FFF0F5,jardin école,,,LL,,
35,École,Etablissements scolaires,Jean Rostand élémentaire,"136, rue Louis Auguste Blanqui 93140 BONDY",#ecdbdf,#FFF0F5,,,,JR,,
36,École,Etablissements scolaires privés,Établissement Maurice Coutrot,"15, avenue de Verdun",#ecdbdf,#FFF0F5,,,,MC,,
132,École,Etablissements scolaires,Pierre Curie maternelle,,,,,662649.172742476,6865484.79059203,PC,,
112,École,Etablissements scolaires,Mainguy Guehenno élémentaire,,#ecdbdf,#FFF0F5,jardin école,660969.406338183,6867185.73647732,MG,,
113,École,Etablissements scolaires,Mainguy maternelle,,#ecdbdf,#FFF0F5,,660865.68552671,6866964.66742583,M,,
114,École,Etablissements scolaires,Jules Ferry 1 élémentaire,"136, rue Blanqui",,,jardin école projet,,,JF1,,
126,École,Etablissements scolaires,Roger Salengro maternelle,,,,,661653.598674348,6866240.41381742,RS,,
127,École,Etablissements scolaires,Apollinaire primaire,,,,,,,A,Ec. A,
128,École,Etablissements scolaires,Henri Sellier maternelle,,,,,,,HS,,
129,École,Etablissements scolaires,Primaire Assia DJEBAR (ex école primaire Jules FERRY) ,"2, rue François Collet 93140 BONDY",,,,662408.858292968,6866328.11030833,AD,,
130,École,Etablissements scolaires,Léo Lagrange maternelle,,,,,,,LL,,
131,École,Etablissements scolaires,Marie Curie élémentaire,,,,,662241.048744042,6865948.43812388,MC,,
150,École autre,Collège,Collège Jean Zay,,,,,,,JZ,Collège JZ,
151,École autre,Lycée,Lycée Madeleine Vionnet,,,,,,,MV,,C:\Users\bmaranget\Documents\03_SIG\03_03_Data\05_PHOTOS\sites\vionnet.JPG
152,École autre,Collège Lycée,Collège Lycée Jean Renoir,,,,,,,JR,,
153,École autre,Collège,Collège Pierre Curie,,,,,,,PC,,
